Item,Link,Price,Quantity,Status,Notes
Yeti cooler,https://www.yeti.com/en_US/hard-coolers/tundra-75-cooler/YT75.html?dwvar_YT75_color=white&cgid=hard-coolers#start=1,$449.99,1,arrived,
ammeter,https://www.amazon.com/P3-P4400-Electricity-Usage-Monitor/dp/B00009MDBU/ref=sr_1_1?keywords=kill-a-watt&qid=1550089394&s=gateway&sr=8-1,$19.44,1,arrived,
dry-erase markers,https://www.amazon.com/gp/product/B00006IFIL/ref=ox_sc_act_title_1?smid=ATVPDKIKX0DER&psc=1,$6.98,8,arrived,
lab notebooks,https://www.amazon.com/NATIONAL-Laboratory-Notebook-Brown-43649/dp/B000084QUG/ref=sr_1_11?keywords=lab+notebooks&qid=1550100778&s=gateway&sr=8-11,$110.49,4,arrived,
pens,https://www.amazon.com/Pilot-Retractable-Premium-Roller-Dozen/dp/B001GAOTSW/ref=sr_1_5?keywords=pens&qid=1550100889&s=gateway&sr=8-5,$12.99,12,arrived,
rubber bands,https://www.amazon.com/AmazonBasics-Assorted-Color-Rubber-Bands/dp/B074B1KCXD/ref=sr_1_5?keywords=rubber+bands&qid=1550100935&s=gateway&sr=8-5,$5.49,0.5 lb,arrived,
folders,https://www.amazon.com/Pendaflex-Two-Tone-Folders-Assorted-03086/dp/B075332F51/ref=sr_1_7?keywords=folders&qid=1550100967&s=office-products&sr=1-7,$7.99,36,arrived,
stapler,https://www.amazon.com/Swingline-Staplers-Commercial-Desktop-Capacity/dp/B074ZRZ4CZ/ref=sr_1_5?crid=317RLO4MTOQ51&keywords=stapler&qid=1550101013&s=office-products&sprefix=stapler%2Coffice-products%2C219&sr=1-5,$13.04,2,ordered,
coffeemaker,https://www.amazon.com/Kitchen-Small-Appliances-COFFEE-MAKER/dp/B07DJD9SD1/ref=sr_1_2?crid=122D7217S1KZX&keywords=single+serve+coffee+maker&qid=1550101256&s=office-products&sprefix=single+serve+coffe%2Coffice-products%2C206&sr=1-2,$24.99,1,arrived,
coffee,https://www.amazon.com/Mountain-Coffee-Variety-Single-Serve-Sampler/dp/B071Z8LD77/ref=sr_1_5?keywords=k-cups&qid=1550101345&s=home-garden&sr=1-5&th=1,$22.49,40,arrived,
power supply,https://www.amazon.com/MEAN-WELL-RD-65A-Output-Enclosed/dp/B005T7EZM8/ref=sr_1_4?keywords=power+supply+12v+5v&qid=1550613746&s=gateway&sr=8-4,$26.74,1,ordered,
R3 board,https://www.amazon.com/gp/product/B01EWOE0UU/ref=ox_sc_act_title_1?smid=A2WWHQ25ENKVJ1&psc=1,$11.86,1,arrived,
Relay module for Raspberry PI,https://www.amazon.com/Channel-Module-Arduino-Raspberry-K49/dp/B01BACQF1Y/ref=pd_day0_hl_147_6/141-6172537-4085608?_encoding=UTF8&pd_rd_i=B01BACQF1Y&pd_rd_r=ed9b9f07-3469-11e9-a8f2-11c152c603a0&pd_rd_w=bVuj5&pd_rd_wg=wEdWj&pf_rd_p=ad07871c-e646-4161-82c7-5ed0d4c85b07&pf_rd_r=B22XK9QJBA07KGZ33T4C&psc=1&refRID=B22XK9QJBA07KGZ33T4C,$6.88,1,arrived,
breadboard,https://www.amazon.com/Qunqi-point-Experiment-Breadboard-5-5%C3%978-2%C3%970-85cm/dp/B0135IQ0ZC/ref=pd_sim_147_5/141-6172537-4085608?_encoding=UTF8&pd_rd_i=B0135IQ0ZC&pd_rd_r=04cd8310-3176-11e9-9bfd-ad0a97d0ca89&pd_rd_w=8EsdC&pd_rd_wg=zrfVM&pf_rd_p=90485860-83e9-4fd9-b838-b28a9b7fda30&pf_rd_r=XJH1MRF5PPENK5FYN4ZC&psc=1&refRID=XJH1MRF5PPENK5FYN4ZC,$5.69,1,arrived,
temperature sensors,https://www.amazon.com/KOOKYE-Temperature-TMP36-Precision-Raspberry/dp/B01GH32AQU/ref=sr_1_2?keywords=tmp36&qid=1550614294&s=gateway&sr=8-2,$5.69,5,arrived,
resistor kit,https://www.amazon.com/Elegoo-Values-Resistor-Assortment-Compliant/dp/B072BL2VX1/ref=sr_1_3?keywords=resistors&qid=1550614377&s=gateway&sr=8-3,$10.86,1,arrived,
raspberry pi fan,https://www.amazon.com/Easycargo-Raspberry-30x30x7mm-Brushless-30mmx30mmx7mm/dp/B0792BW2VH/ref=sr_1_3?keywords=5v+fan&qid=1550614512&s=gateway&sr=8-3,$10.86,1,arrived,
replacement analytical balance,https://www.amazon.com/gp/product/B01GR85IH8/ref=ppx_yo_dt_b_asin_title_o03__o00_s00?ie=UTF8&psc=1,437.95,1,arrived,
,,,,,
Total,,8591.68,,,
